C:\Agilent\ICPMH\1\DATA\Steven.Christopher Batch Data\1FEB21SC629.b\001SMPL.d
Intensity Vs Time,CPS
Acquired      : 2021-02-01 14:58:33 using Batch 1FEB21SC629.b
Time [Sec],Li7 -> 7,Mg24 -> 24,Mg25 -> 25,Ca43 -> 43,Ca44 -> 44,Sc45 -> 45,Mn55 -> 55,Fe57 -> 57,Co59 -> 59,Cu63 -> 63,Cu65 -> 65,Zn66 -> 66,Rb85 -> 85,Sr86 -> 86,Sr87 -> 87,Sr88 -> 88,Y89 -> 89,Cd111 -> 111,Cd114 -> 114,Sb121 -> 121,Sb123 -> 123,Ba137 -> 137,Ba138 -> 138,Tl205 -> 205,Pb206 -> 206,Pb207 -> 207,Pb208 -> 208,Th232 -> 232,U238 -> 238
2.9896,10.00,10.00,0.00,0.00,530.01,30.00,200.00,610.01,20.00,720.01,300.00,40.00,30.00,930.02,20.00,20.00,0.00,0.00,70.00,20.00,40.00,10.00,30.00,0.00,10.00,30.00,30.00,0.00,0.00
5.9689,0.00,0.00,0.00,0.00,510.01,50.00,240.00,610.01,30.00,650.01,270.00,100.00,10.00,940.03,0.00,0.00,0.00,0.00,70.00,30.00,0.00,10.00,0.00,0.00,0.00,40.00,60.00,0.00,0.00
8.9487,0.00,50.00,0.00,0.00,550.01,80.00,180.00,700.01,70.00,710.01,330.00,170.00,10.00,1090.03,0.00,10.00,0.00,0.00,70.00,0.00,20.00,0.00,10.00,0.00,20.00,0.00,60.00,0.00,0.00
11.9276,0.00,50.00,0.00,0.00,800.02,90.00,240.00,910.02,60.00,570.01,190.00,60.00,20.00,1040.03,20.00,0.00,0.00,0.00,100.00,20.00,30.00,0.00,20.00,0.00,30.00,10.00,20.00,0.00,0.00
14.9079,0.00,10.00,0.00,0.00,470.01,60.00,340.00,780.02,40.00,580.01,310.00,70.00,30.00,1030.03,0.00,20.00,0.00,0.00,40.00,30.00,0.00,0.00,40.00,20.00,20.00,30.00,40.00,0.00,0.00
17.8867,0.00,20.00,0.00,0.00,480.01,60.00,270.00,720.01,10.00,550.01,290.00,120.00,0.00,980.03,20.00,10.00,0.00,0.00,80.00,0.00,0.00,0.00,10.00,0.00,0.00,20.00,140.00,0.00,0.00
20.8666,0.00,40.00,0.00,0.00,510.01,10.00,230.00,680.01,70.00,790.02,340.00,150.00,20.00,800.02,0.00,0.00,0.00,0.00,100.00,10.00,0.00,0.00,0.00,20.00,50.00,20.00,40.00,0.00,0.00
23.8459,0.00,10.00,0.00,20.00,520.01,60.00,270.00,460.01,50.00,6861.32,5820.95,5530.86,5580.89,59240.38,53642.39,849297.02,10.00,0.00,60.00,10.00,50.00,3460.36,26420.82,0.00,610.01,280.00,720.02,0.00,50.00
26.8257,50.00,1778295.44,263873.43,474424.80,7620000.51,140.00,234364.45,9802.69,670.01,39794.48,20311.61,92902.67,24917.77,808222.10,610482.80,7162438.64,20.00,0.00,170.00,120.00,20.00,13725.62,92203.07,20.00,880.02,830.02,2020.13,0.00,110.00
29.8045,20.00,3333883.39,522091.87,1016444.67,16574154.75,180.00,480288.86,17018.10,1170.04,56319.05,30716.55,137047.42,22794.86,1067479.59,776795.46,9360655.49,40.00,20.00,220.00,40.00,60.00,16898.51,105299.96,20.00,1130.04,1140.04,2700.23,10.00,180.00
32.7849,80.00,4019285.25,647400.69,1287652.79,20335093.45,180.00,665776.71,22113.67,1230.04,51815.39,26579.88,181827.24,25598.75,1467307.32,1075558.81,13157311.05,40.00,30.00,310.00,130.00,30.00,19050.82,121327.83,50.00,1270.05,1180.04,2680.23,180.00,210.00
35.7637,50.00,4893303.05,794502.72,1474582.48,26711689.60,40.00,1030643.73,29003.52,1210.04,61656.71,49849.90,229130.50,26820.58,1781060.13,1311158.89,15588468.52,40.00,20.00,350.00,10.00,130.00,16398.02,105310.02,110.00,1090.04,1140.04,2430.19,0.00,300.00
38.7436,30.00,5487454.92,867457.02,1664065.13,29185819.57,210.00,1120169.75,30255.60,1200.04,68471.59,39263.37,225818.43,23085.25,1915063.41,1386311.07,16476438.50,110.00,0.00,470.01,40.00,30.00,14796.53,95833.38,310.00,1310.05,650.01,2300.17,0.00,180.00
41.7229,20.00,6089496.16,954743.97,1842085.60,32437564.52,230.00,1234804.75,33521.42,1000.03,57272.09,26970.47,222760.09,19140.48,1939007.94,1436900.60,17067212.25,100.00,20.00,200.00,50.00,20.00,12724.83,78523.63,120.00,930.03,840.02,2000.13,0.00,160.00
44.7027,50.00,6224573.66,986593.97,1879697.32,33449359.50,90.00,1363360.92,34563.40,1250.04,45207.39,24587.02,234510.11,20512.04,2001087.16,1501846.07,17437672.24,60.00,20.00,270.00,20.00,30.00,11143.70,69915.61,90.00,650.01,770.02,1460.07,0.00,220.00
47.6815,50.00,6036464.91,974777.02,1859299.03,32433549.52,180.00,1223582.01,33761.87,3500.34,37830.20,20121.40,239678.49,20421.93,2025247.78,1490534.20,18094380.98,130.00,10.00,190.00,40.00,100.00,11293.80,82613.22,100.00,810.02,690.01,1720.09,20.00,580.01
50.6619,70.00,5822119.91,932986.78,1809242.32,31601522.03,140.00,1028929.13,31077.00,830.02,33431.40,30205.68,226223.53,19681.08,1976679.35,1439372.79,17381823.49,80.00,0.00,150.00,70.00,20.00,10443.25,69574.19,100.00,860.02,840.02,930.03,10.00,10.00
53.6407,50.00,5394705.54,849170.92,1734474.66,31938064.52,220.00,903660.85,31247.30,800.02,34002.48,17258.38,210198.18,19430.80,2070308.41,1490716.70,18491129.72,80.00,10.00,160.00,0.00,70.00,10833.50,72426.24,50.00,580.01,390.00,1180.04,0.00,170.00
56.6205,90.00,5503909.29,864617.64,1768452.00,30437859.55,160.00,773197.96,30506.02,940.02,29734.84,16027.23,193985.02,20001.45,2004344.66,1467681.23,17974232.23,80.00,10.00,230.00,30.00,30.00,11964.27,75570.09,70.00,420.01,360.00,970.03,30.00,90.00
59.5999,50.00,5409363.67,819109.91,1655136.54,29139184.57,180.00,631922.02,28202.24,790.02,32008.79,14876.23,178917.87,20772.35,1985151.69,1467758.88,17716742.24,50.00,0.00,230.00,110.00,10.00,12474.64,77579.25,130.00,470.01,360.00,990.03,40.00,70.00
62.5797,40.00,5191740.24,830003.19,1626523.41,27915567.08,120.00,553013.51,28572.82,1160.04,28132.24,16207.39,179422.95,20311.80,1982771.38,1503456.23,17741483.49,110.00,10.00,100.00,30.00,30.00,11023.62,83889.55,60.00,470.01,280.00,730.02,0.00,50.00
65.5585,90.00,5254324.92,801382.41,1595926.23,28114044.58,260.00,471622.92,28382.52,1060.03,32850.32,16027.23,181948.47,21102.74,2090041.38,1493566.38,18278448.48,100.00,0.00,190.00,70.00,10.00,13275.25,83256.41,60.00,380.00,310.00,590.01,10.00,90.00
68.5389,80.00,5291394.30,823301.24,1653927.48,28162077.08,90.00,404612.30,27481.12,830.02,34874.17,15306.60,160775.38,19791.21,2175812.16,1562619.20,19053564.72,50.00,20.00,70.00,40.00,110.00,13115.13,88111.14,0.00,380.00,200.00,650.01,0.00,40.00
71.5177,20.00,5307206.17,816016.55,1619231.38,28046734.58,190.00,341497.07,27240.75,1210.04,39052.84,16177.37,153854.38,20942.55,2159511.37,1526546.70,19750838.46,100.00,20.00,210.00,20.00,20.00,14476.25,95169.60,10.00,270.00,140.00,570.01,0.00,60.00
74.4975,40.00,5225472.73,822904.13,1620146.69,27399314.59,110.00,296068.69,28302.40,990.03,31557.98,27411.15,126449.15,19721.13,2175292.94,1577830.91,19161480.96,140.00,20.00,170.00,40.00,30.00,15577.23,103176.81,10.00,340.00,80.00,380.00,0.00,170.00
77.4769,60.00,5301157.42,813571.63,1609769.51,28607329.57,90.00,281090.03,28542.78,1120.04,29404.30,14706.09,111539.61,19570.96,2234651.53,1596256.69,19353847.21,80.00,30.00,80.00,60.00,50.00,17829.48,111228.09,90.00,280.00,220.00,540.01,0.00,40.00
80.4567,80.00,5314309.92,802363.82,1543939.20,26421537.11,200.00,297217.50,25698.47,1040.03,30536.20,15136.45,108209.07,18319.60,2418992.46,1728758.10,21616927.18,90.00,0.00,280.00,80.00,10.00,19951.87,132502.04,70.00,280.00,270.00,760.02,0.00,70.00
83.4355,80.00,5371346.79,850856.32,1688067.01,29173809.57,170.00,322550.46,25758.55,1330.05,27982.00,14345.80,97457.01,18099.37,2509794.49,1830929.66,22853099.66,100.00,20.00,180.00,40.00,70.00,22475.06,141817.86,110.00,520.01,340.00,570.01,0.00,120.00
86.4159,10.00,5051210.55,793333.82,1508811.70,26676902.10,90.00,323426.07,26619.81,1520.06,26579.85,13174.89,94682.04,18880.20,2565911.84,1855022.16,23133669.66,90.00,10.00,250.00,90.00,0.00,22304.83,148727.39,80.00,430.01,370.00,570.01,0.00,180.00
89.3947,90.00,5110930.24,809612.02,1505947.79,26087704.61,170.00,308221.30,25848.69,1260.04,26740.09,13234.93,97326.30,18339.62,2679883.40,1935339.97,23922922.14,170.00,0.00,130.00,40.00,30.00,25419.26,162888.21,80.00,480.01,400.01,620.01,20.00,260.00
92.3745,90.00,5431087.42,846972.80,1562081.54,27529267.09,80.00,310612.09,28122.11,1100.03,25358.07,12654.51,94893.17,18840.16,2594304.81,1847791.53,23258244.65,80.00,0.00,190.00,70.00,180.00,24427.79,162908.42,30.00,230.00,330.00,910.03,0.00,220.00
95.3539,60.00,5018571.49,783734.29,1438769.67,25285587.12,80.00,303664.35,24667.01,1520.06,25027.60,13124.85,91656.21,18920.24,2681948.40,1949142.47,23799547.15,120.00,40.00,130.00,60.00,80.00,27592.69,178314.14,20.00,290.00,440.01,810.02,0.00,460.01
98.3337,30.00,5169175.24,802708.66,1478546.23,26180959.61,120.00,326378.90,24646.98,1410.06,27471.21,13154.87,99618.96,19420.79,2817888.08,2005842.16,24804842.13,110.00,10.00,90.00,50.00,20.00,28594.37,193278.75,50.00,700.02,450.01,1100.04,0.00,170.00
