C:\Agilent\ICPMH\1\DATA\Steven.Christopher Batch Data\1FEB21SC2416B.b\001SMPL.d
Intensity Vs Time,CPS
Acquired      : 2021-02-01 15:23:26 using Batch 1FEB21SC2416B.b
Time [Sec],Li7 -> 7,Mg24 -> 24,Mg25 -> 25,Ca43 -> 43,Ca44 -> 44,Sc45 -> 45,Mn55 -> 55,Fe57 -> 57,Co59 -> 59,Cu63 -> 63,Cu65 -> 65,Zn66 -> 66,Rb85 -> 85,Sr86 -> 86,Sr87 -> 87,Sr88 -> 88,Y89 -> 89,Cd111 -> 111,Cd114 -> 114,Sb121 -> 121,Sb123 -> 123,Ba137 -> 137,Ba138 -> 138,Tl205 -> 205,Pb206 -> 206,Pb207 -> 207,Pb208 -> 208,Th232 -> 232,U238 -> 238
2.9896,0.00,80.00,0.00,0.00,910.02,60.00,190.00,400.00,10.00,730.02,410.00,200.00,40.00,1220.04,0.00,10.00,0.00,0.00,50.00,20.00,0.00,0.00,70.00,0.00,0.00,0.00,40.00,0.00,0.00
5.9699,0.00,10.00,0.00,0.00,770.02,100.00,200.00,680.01,40.00,930.02,490.01,180.00,50.00,970.03,30.00,20.00,0.00,0.00,50.00,10.00,0.00,10.00,10.00,0.00,0.00,0.00,30.00,0.00,0.00
8.9477,0.00,50.00,0.00,20.00,500.01,60.00,320.00,520.01,0.00,670.01,260.00,70.00,0.00,970.03,10.00,40.00,0.00,0.00,60.00,0.00,20.00,0.00,100.00,20.00,0.00,10.00,40.00,0.00,0.00
11.9276,0.00,40.00,0.00,0.00,780.02,100.00,280.00,580.01,30.00,670.01,380.00,100.00,30.00,1160.04,0.00,80.00,0.00,0.00,0.00,20.00,20.00,0.00,20.00,0.00,0.00,30.00,30.00,0.00,0.00
14.9069,0.00,80.00,0.00,10.00,550.01,40.00,340.00,700.01,20.00,760.02,310.00,80.00,80.00,1060.03,30.00,40.00,0.00,0.00,70.00,20.00,0.00,10.00,70.00,10.00,0.00,20.00,20.00,0.00,0.00
17.8867,0.00,20.00,0.00,0.00,550.01,30.00,270.00,600.01,50.00,620.01,370.00,130.00,40.00,1180.04,20.00,120.00,0.00,0.00,30.00,10.00,0.00,20.00,40.00,0.00,10.00,40.00,30.00,0.00,0.00
20.8655,0.00,60.00,0.00,0.00,1010.03,50.00,250.00,510.01,60.00,670.01,430.01,70.00,20.00,1050.03,10.00,100.00,0.00,0.00,50.00,50.00,20.00,0.00,30.00,0.00,20.00,10.00,60.00,0.00,0.00
23.8459,0.00,40.00,0.00,0.00,1690.08,40.00,1830.09,990.03,110.00,40235.47,20912.31,45037.10,10933.42,638780.77,489382.34,6872658.02,10.00,20.00,50.00,20.00,0.00,8312.06,56244.27,60.00,510.01,390.00,800.02,0.00,20.00
26.8247,30.00,3913106.50,586607.26,1163239.44,18216350.98,70.00,157177.14,22083.64,420.00,12504.40,6411.16,57332.51,19430.78,1221547.17,889650.61,11334392.33,40.00,0.00,160.00,10.00,10.00,8872.35,54889.79,50.00,520.01,450.01,1120.04,0.00,20.00
29.8045,80.00,3575968.38,582602.73,1245722.09,21326699.68,120.00,162665.86,24036.16,840.02,15586.83,7541.60,56309.24,22744.80,1468262.95,1099664.91,13094448.55,10.00,50.00,210.00,10.00,40.00,9212.53,55170.71,170.00,480.01,270.00,1420.06,0.00,50.00
32.7839,100.00,4295796.19,673443.11,1332842.01,23467372.15,220.00,184526.34,27891.75,710.01,20531.85,9742.67,60814.08,22454.42,1674640.60,1211075.37,14827252.28,70.00,0.00,130.00,70.00,60.00,9162.50,61352.16,40.00,690.01,760.02,1660.09,0.00,30.00
35.7637,60.00,5009195.24,758558.89,1541079.98,26954177.10,180.00,199960.82,30255.60,710.01,29213.98,13024.78,67086.63,25839.10,1741842.79,1309048.96,16236598.51,10.00,10.00,30.00,60.00,80.00,9582.74,58722.76,80.00,1120.04,920.03,1850.11,20.00,80.00
38.7425,20.00,4131281.81,622956.08,1286488.34,23707782.15,190.00,161828.30,31437.63,770.02,41899.31,16097.30,67407.84,21513.24,1673409.82,1253469.59,15439581.02,40.00,0.00,120.00,60.00,50.00,8782.30,61994.51,90.00,1550.08,5090.81,3030.29,0.00,1530.08
41.7229,100.00,4903415.55,752830.07,1626344.04,27799424.59,90.00,235803.18,35555.34,550.01,36898.24,35164.80,86560.70,26970.81,1867594.19,1349408.10,16450541.00,30.00,0.00,380.00,150.00,30.00,8171.99,53916.63,40.00,1880.11,1610.08,4570.66,0.00,70.00
44.7017,110.00,4859577.43,761799.05,1516114.98,25966777.11,170.00,227405.52,29354.09,660.01,32980.56,19720.95,82230.16,23035.18,1623906.54,1171718.03,13902764.79,90.00,20.00,220.00,30.00,90.00,7351.61,48048.82,110.00,1750.10,15497.55,3000.28,0.00,50.00
47.6815,100.00,5364579.92,808139.28,1589104.66,27224944.59,220.00,261577.57,32629.77,530.01,46330.28,7174062.39,92148.75,22494.47,1655267.16,1220971.00,15258211.02,50.00,0.00,160.00,50.00,2790.23,7301.59,47968.58,80.00,1970.12,63275.64,3240.33,0.00,40.00
50.6609,140.00,5882961.16,914783.89,1750324.35,31349434.53,260.00,341038.43,40255.29,690.01,57242.00,11756.41,125502.44,26750.47,1922207.00,1371312.01,16366873.51,80.00,20.00,130.00,70.00,50.00,7181.54,44037.82,170.00,1240.05,1500.07,3420.37,0.00,70.00
53.6407,80.00,6229904.28,974123.50,1712022.16,29699244.56,150.00,381421.32,38922.35,670.01,3270786.83,27310.99,139073.09,27301.32,1879751.38,1414820.29,17082822.25,130.00,20.00,180.00,60.00,70.00,7391.63,42654.24,100.00,1400.06,1360.06,2850.26,70.00,90.00
56.6195,80.00,6149724.91,973101.47,1625315.76,29588979.56,140.00,441283.74,35485.20,660.01,97088.69,38702.14,169092.20,28032.48,1932157.16,1422141.23,16780936.00,60.00,10.00,250.00,110.00,30.00,5670.96,39987.67,90.00,1700.09,1220.05,4160.54,0.00,90.00
