C:\Agilent\ICPMH\1\DATA\Steven.Christopher Batch Data\1FEB21612610CAL.b\001SMPL.d
Intensity Vs Time,CPS
Acquired      : 2021-02-01 14:17:09 using Batch 1FEB21612610CAL.b
Time [Sec],Li7 -> 7,Mg24 -> 24,Mg25 -> 25,Ca43 -> 43,Ca44 -> 44,Sc45 -> 45,Mn55 -> 55,Fe57 -> 57,Co59 -> 59,Cu63 -> 63,Cu65 -> 65,Zn66 -> 66,Rb85 -> 85,Sr86 -> 86,Sr87 -> 87,Sr88 -> 88,Y89 -> 89,Cd111 -> 111,Cd114 -> 114,Sb121 -> 121,Sb123 -> 123,Ba137 -> 137,Ba138 -> 138,Tl205 -> 205,Pb206 -> 206,Pb207 -> 207,Pb208 -> 208,Th232 -> 232,U238 -> 238
2.9885,0.00,60.00,0.00,10.00,920.02,70.00,270.00,2490.17,0.00,5510.85,2470.17,250151.66,30.00,950.03,30.00,100.00,0.00,0.00,320.00,40.00,0.00,40.00,130.00,290.00,85569.45,75197.38,183412.46,20.00,10.00
5.9689,0.00,30.00,0.00,0.00,770.02,50.00,190.00,2050.12,40.00,6811.30,3450.34,334790.07,20.00,1270.05,20.00,90.00,0.00,0.00,240.00,50.00,20.00,80.00,290.00,190.00,63396.02,57684.44,144332.55,0.00,0.00
8.9477,0.00,80.00,0.00,30.00,680.01,40.00,200.00,2090.12,50.00,5610.88,2580.19,245203.24,10.00,1360.05,0.00,40.00,0.00,0.00,290.00,70.00,40.00,40.00,260.00,280.00,83257.24,75940.91,197327.67,0.00,10.00
11.9276,0.00,80.00,20.00,0.00,700.01,10.00,290.00,2560.18,30.00,6491.19,2800.22,265228.34,30.00,1190.04,20.00,40.00,0.00,20.00,270.00,20.00,60.00,40.00,240.00,190.00,62924.16,54091.85,128305.95,0.00,0.00
14.9069,0.00,80.00,10.00,10.00,820.02,50.00,290.00,2130.13,70.00,5460.84,2850.23,242516.72,20.00,1100.03,30.00,50.00,0.00,0.00,190.00,20.00,0.00,50.00,300.00,140.00,86152.58,77337.62,180246.56,0.00,0.00
17.8867,0.00,100.00,10.00,0.00,590.01,110.00,260.00,2330.15,10.00,4970.69,2520.18,234996.48,30.00,1270.05,40.00,110.00,0.00,50.00,160.00,30.00,20.00,60.00,270.00,200.00,61418.29,51192.27,148480.51,0.00,0.00
20.8655,0.00,170.00,20.00,10.00,760.02,80.00,340.00,2130.13,60.00,5700.91,3110.27,252768.36,30.00,1140.04,10.00,50.00,0.00,0.00,350.00,30.00,10.00,40.00,390.00,230.00,57282.91,53539.98,133216.08,0.00,0.00
23.8459,0.00,130.00,0.00,0.00,1000.03,160.00,1720.08,3320.31,50772.15,68702.47,38902.58,277361.81,66265.48,23756.16,45629.63,245771.30,167330.31,15166.72,41209.69,85203.32,63639.28,38985.28,274257.09,49627.21,145885.67,135948.67,337945.93,334770.50,442899.72
26.8247,1330.05,38590.50,5600.85,197290.74,3333196.20,132635.60,236238.86,16837.93,327437.71,210124.31,99186.34,243875.15,189674.39,67962.07,130647.61,587749.13,414568.00,36779.50,90760.70,184467.05,147357.91,72144.92,474980.46,101814.44,242513.96,209602.38,514217.96,490948.43,575487.06
29.8045,1510.06,63690.23,9052.23,280387.73,4354373.06,169169.18,279089.14,18379.45,429754.95,288247.65,143941.22,319654.66,298560.25,98054.71,188068.75,818797.88,556050.54,43485.20,102768.49,218102.40,164100.72,77960.87,523886.75,117542.21,257649.04,236262.20,581716.75,572910.66,689152.26
32.7839,1650.07,54631.12,8642.03,263212.42,4226906.81,157191.61,275819.02,17318.39,410049.13,268989.39,134809.96,303687.79,278411.52,97039.05,189827.69,806210.85,541791.40,40828.67,102889.22,212998.16,170412.56,83155.75,535732.73,118418.65,252487.28,235186.48,561612.57,561693.98,691973.43
35.7637,1720.08,55473.64,8231.85,299470.15,4778073.68,180427.42,314285.37,19760.92,454989.17,298159.12,146502.06,317435.33,284955.78,103596.59,205139.61,919246.47,623478.00,48338.20,121712.46,255326.11,183639.65,87437.45,562892.02,125180.09,255586.17,242911.29,577206.67,544997.69,690019.29
38.7425,1830.09,70575.32,7221.42,275970.54,4215303.69,162357.05,291433.53,17949.01,444192.14,280566.23,142368.63,293386.56,271829.04,92132.56,180529.72,838733.43,573844.29,45861.39,115992.84,243544.90,185368.32,88995.61,581077.41,144401.74,269248.77,233451.15,569329.99,550526.63,682665.15
41.7229,1940.10,53868.88,7461.52,304431.99,4884622.11,182690.04,323232.57,19560.70,448672.18,287515.97,137419.84,354823.94,279955.91,94454.93,197886.54,855457.96,590900.77,48318.14,125399.00,249003.24,186005.25,88402.50,573182.26,145542.07,245570.33,228966.68,552946.40,638898.47,825297.72
44.7017,2120.12,70033.25,10162.81,349282.07,5361934.92,194431.74,333763.24,20091.29,490255.23,286804.62,138508.26,291658.41,291797.38,99905.15,185996.72,799135.93,577119.91,48468.57,118570.46,242733.38,183599.22,88814.67,573368.47,156000.37,272656.03,256380.31,579394.13,563621.63,719260.85
47.6815,1830.09,66941.76,8682.05,312620.01,5106593.67,187882.91,324250.78,18899.99,457594.64,269436.09,130135.27,231977.11,276511.71,96898.27,197957.30,929626.00,669500.54,58630.30,148624.34,296548.20,221862.87,102462.20,645388.82,179991.46,281365.66,248344.23,597714.37,547886.12,656045.07
50.6609,1560.07,53317.27,8932.17,268235.43,4108097.13,151725.12,260674.57,16417.54,387452.38,248808.73,121373.52,315236.67,271808.75,93459.59,174892.71,808419.68,583921.09,50905.63,122911.01,247755.19,194439.12,90041.17,590570.89,162292.79,266940.29,245592.03,559344.60,530263.20,663220.15
53.6407,1570.07,57058.48,7291.45,272518.77,4365231.81,161378.31,290010.70,16998.08,408064.37,258231.64,124203.01,306434.41,244195.29,83660.05,159475.95,745390.69,563267.06,48919.85,127313.10,264870.72,206298.10,99484.33,648775.97,177999.26,282607.38,251350.95,603071.12,605579.41,720684.68
56.6195,1900.10,55383.37,7581.57,294794.23,4845115.55,175115.49,298630.74,16757.85,401262.69,256091.07,123910.96,276478.18,265370.84,94193.52,174761.38,807194.91,564795.42,47596.12,118147.54,233941.21,177929.24,85829.18,541772.37,148044.98,259956.11,233806.32,558806.12,560844.29,710825.77
59.5999,1920.10,62054.64,8612.02,330605.70,5501304.29,212412.69,357178.78,20361.59,502457.88,300894.59,149940.56,376892.18,289824.96,98547.47,190626.33,828301.71,568193.35,47024.55,119658.02,245502.81,198232.71,98850.60,627653.62,173540.47,289071.91,259185.23,613561.48,656600.54,772012.49
62.5787,2060.11,70103.52,9742.59,363457.38,5992383.66,211309.92,350855.50,19941.12,468296.99,287007.85,133510.18,290235.33,269046.50,86594.32,167793.45,776046.39,578835.46,50684.97,120362.96,250505.07,185661.52,93972.68,591730.85,167819.63,265770.95,233613.53,550503.74,561745.81,668238.35
65.5585,1690.08,51863.11,7001.34,259773.16,4122077.75,156626.71,263312.77,16627.73,386451.01,240434.68,121524.55,280470.09,243840.39,82755.75,162089.90,716379.91,496809.06,44237.13,109359.26,217737.73,167826.93,81588.07,543538.23,159797.72,271272.65,234486.25,552490.97,559175.97,713849.99
68.5379,2030.11,63700.26,9072.24,310270.00,4909397.43,186326.93,305606.97,17828.89,430943.08,256283.77,121413.81,289483.20,248951.75,84815.61,167551.15,760690.93,529450.30,48388.34,127423.92,252484.08,202350.93,100429.95,686933.11,211130.37,310938.43,266586.05,628561.01,682349.99,826973.27
71.5177,1890.10,63529.67,8722.07,329251.32,5569650.54,197828.36,352507.46,19690.84,505131.83,317947.51,150777.65,225625.99,312938.71,110740.26,198291.07,902641.16,641889.33,52620.81,126567.59,257153.41,196533.06,99554.75,692526.55,222148.75,303394.86,272973.04,639671.47,651545.26,731890.22
74.4965,2070.12,55583.97,7861.68,287559.10,4461526.81,165868.73,290884.70,18269.33,417550.11,249173.80,125532.28,230842.46,269371.42,93359.05,186299.94,880447.64,604371.63,49912.71,124573.01,241972.65,180102.01,93057.60,606619.60,186313.57,293461.17,246282.59,579715.54,605995.07,752395.07
77.4769,2140.12,62586.45,8121.80,309201.93,4820827.12,176307.01,310632.40,18509.58,485477.22,299074.25,144687.27,286546.07,266731.36,91107.20,180762.13,767917.96,515459.72,43785.97,113707.54,224839.43,163222.28,78875.13,566221.44,174612.07,253056.25,250893.82,584029.25,641429.09,691200.15
80.4557,1610.07,57650.33,9622.52,252399.80,4038317.13,146512.32,276570.45,15827.01,431537.22,265599.00,138397.41,283985.37,304755.87,103023.21,206485.35,878114.21,654132.57,52259.70,135062.34,252402.91,210803.04,98146.48,670944.21,220688.63,318250.89,285215.11,700393.04,743352.41,857153.89
83.4355,2350.15,62526.24,9282.35,312223.22,5113646.49,194027.44,319883.24,18579.65,451327.92,285737.63,143951.32,299202.52,287313.94,93147.94,176710.92,807791.63,577967.37,52921.74,126215.00,246649.23,182901.76,93459.81,625100.69,194632.17,282312.18,254185.45,618403.90,660041.24,786260.69
86.4148,2130.12,67955.47,9712.57,323529.43,5001045.24,179508.34,319710.17,19500.64,404606.95,253027.65,115957.50,307695.95,269564.35,85931.04,149830.97,687740.93,464412.88,39846.35,99277.92,202156.79,151544.61,75529.78,501362.88,162777.69,263951.09,253271.01,574283.51,618969.33,731324.60
89.3947,1900.10,56556.93,8181.82,303394.78,4940817.43,179811.33,308465.43,18619.70,406560.62,233016.89,110040.01,271593.57,259544.29,97209.99,184915.31,863332.41,608046.32,51667.90,122064.97,240319.37,178333.43,82351.80,507823.23,152133.21,256449.90,220325.90,521757.80,543890.07,703043.82
92.3735,2080.12,59245.39,7731.63,307798.26,4705632.74,176236.33,304376.30,17918.98,453840.50,274523.00,123034.90,253417.50,227633.84,78576.51,141784.10,659250.69,490504.02,43525.30,111583.59,228538.38,175948.73,85165.80,539634.95,166819.20,280571.79,254276.93,585906.55,587041.24,713284.75
95.3539,1860.09,56175.77,8321.89,292477.05,4675368.99,166989.00,290549.33,16797.89,415318.94,257896.87,124343.98,224562.61,263350.62,89046.61,161494.38,762079.83,551220.54,48649.08,117724.65,264139.49,194054.76,92031.95,591554.80,159969.47,239448.08,210291.38,514692.92,525826.87,622257.80
98.3327,2030.11,52735.59,10222.85,273777.55,4371154.62,168836.07,316575.17,18649.73,446570.46,286367.67,140272.05,243135.05,286205.97,100488.49,191586.75,834612.33,590549.17,48659.11,110174.49,215013.36,167190.70,77940.78,514966.40,145824.62,248749.10,223357.75,563000.34,598057.73,758123.50
101.3125,2380.15,66941.76,9192.30,341678.82,5385644.92,194350.88,328293.51,18489.56,473388.78,273223.24,133348.98,212222.07,249316.89,90282.94,178549.51,760920.77,528893.70,44798.58,118761.79,255722.03,203949.96,94395.04,587195.38,166293.77,280490.43,252377.05,583427.76,585650.42,745242.65
104.2918,2150.12,70013.17,8692.06,330116.95,5347081.17,187377.71,315252.18,18349.42,449728.27,276411.93,138115.22,281912.75,271260.29,96928.45,201902.15,888259.60,590704.33,45500.43,110828.70,224758.36,173655.25,90383.01,499436.59,116786.67,202783.86,172874.65,391996.24,290802.89,347684.57
107.2717,840.02,24406.20,4120.46,107408.14,1623710.29,53168.20,103166.49,6941.35,137397.10,72487.45,35896.26,224593.00,58608.17,21102.75,37339.94,161858.35,91007.24,8231.98,20071.80,39866.76,33823.72,14906.63,94958.41,25300.08,109324.25,97669.03,225387.22,72568.23,110289.79
110.2505,280.00,8341.89,1090.03,36867.56,523503.31,18219.19,38711.82,3610.37,48044.61,32108.97,15536.80,240094.08,22454.42,9382.52,14225.80,70321.62,43133.37,4180.51,9092.42,18760.36,14125.89,7211.55,50496.00,13015.32,97839.86,83780.13,199605.88,39149.02,49057.27
113.2309,140.00,4060.45,670.01,18729.70,314616.40,9552.53,19991.16,2950.24,26349.45,18389.51,8682.12,242090.93,12084.18,5520.87,8572.11,37560.44,22013.91,2270.15,5150.78,10803.44,9072.43,4020.48,24788.33,6891.49,90144.61,77679.27,180347.69,18350.78,28265.67
116.2097,150.00,2360.15,260.00,9372.43,151976.69,4890.66,9342.44,2090.12,12244.20,12784.59,6141.06,193186.38,6351.15,3750.40,3970.45,19240.62,11453.77,960.03,3180.30,5720.96,4060.49,1890.11,11363.85,2980.28,77699.23,67633.53,157052.32,9883.13,14676.92
119.1895,30.00,1120.03,160.00,5460.82,74945.17,2560.18,5880.97,1770.09,5670.90,7771.70,4130.48,205382.24,2930.25,2200.14,3190.29,8061.86,5710.94,620.01,1190.04,3110.28,1810.10,970.03,5640.95,1320.05,78000.70,68216.00,161941.02,4500.65,6141.21
122.1688,10.00,340.00,50.00,2150.13,38450.88,1320.05,2560.18,1910.10,4910.68,7181.45,3340.31,229950.99,2080.12,1800.09,1440.06,5440.85,2830.23,290.00,940.03,1790.09,1150.04,670.01,3070.28,1030.03,59932.65,54553.43,131743.89,2290.17,4510.65
125.1487,20.00,570.01,70.00,1370.05,18959.95,640.01,1980.11,2050.12,1250.04,7771.70,3240.30,218892.38,840.02,1240.04,900.02,2460.17,1720.08,80.00,400.00,830.02,880.02,370.00,2300.16,570.01,70114.12,62211.46,157799.69,1440.07,1670.09
128.1280,0.00,250.00,0.00,700.01,13214.83,500.01,830.02,2380.16,1120.04,5650.90,2920.24,254705.80,350.00,1310.05,380.00,2160.13,940.03,70.00,420.01,440.01,390.00,180.00,1230.05,360.00,75448.44,76172.01,206938.81,820.02,860.02
131.1078,0.00,190.00,40.00,370.00,7811.69,170.00,950.03,1700.08,470.01,5610.88,2450.17,179938.12,290.00,1160.04,160.00,970.03,660.01,60.00,270.00,430.01,340.00,80.00,660.01,350.00,68185.77,69903.31,200264.10,570.01,490.01
134.0867,30.00,90.00,10.00,310.00,3730.39,180.00,290.00,1750.09,370.00,5330.80,2450.17,181978.79,150.00,1270.05,110.00,530.01,290.00,60.00,240.00,380.00,260.00,110.00,320.00,370.00,71208.97,61990.59,149086.12,210.00,470.01
137.0670,0.00,100.00,30.00,160.00,5520.84,110.00,350.00,1770.09,220.00,4290.52,1890.10,184716.85,150.00,1200.04,80.00,260.00,270.00,20.00,230.00,210.00,260.00,60.00,350.00,340.00,73157.78,67452.77,164840.60,270.00,190.00
140.0458,0.00,90.00,0.00,220.00,1650.08,140.00,350.00,1760.09,230.00,5430.83,2270.15,200729.45,90.00,840.02,110.00,200.00,160.00,0.00,130.00,200.00,150.00,10.00,180.00,210.00,53730.56,46026.51,115709.76,200.00,110.00
143.0257,0.00,70.00,20.00,50.00,3390.32,60.00,410.00,1780.09,220.00,6141.06,2710.21,211564.27,40.00,1080.03,90.00,130.00,140.00,40.00,270.00,270.00,120.00,30.00,220.00,170.00,54864.41,52416.25,165254.86,70.00,110.00
146.0050,10.00,80.00,0.00,40.00,1470.06,110.00,320.00,1700.08,100.00,5870.97,2500.18,210663.61,540.01,1080.03,10.00,150.00,60.00,0.00,250.00,270.00,150.00,0.00,160.00,310.00,55948.18,49727.63,116072.39,120.00,50.00
148.9766,0.00,40.00,0.00,50.00,1090.03,90.00,290.00,1450.06,60.00,5170.75,2390.16,208660.17,50.00,1000.03,50.00,80.00,20.00,20.00,180.00,200.00,120.00,30.00,340.00,340.00,61066.95,53620.25,143959.18,60.00,80.00


          Printed:2021-02-01 14:20:13
