C:\Agilent\ICPMH\1\DATA\Steven.Christopher Batch Data\1FEB21610CALEND.b\001SMPL.d
Intensity Vs Time,CPS
Acquired      : 2021-02-01 16:48:09 using Batch 1FEB21610CALEND.b
Time [Sec],Li7 -> 7,Mg24 -> 24,Mg25 -> 25,Ca43 -> 43,Ca44 -> 44,Sc45 -> 45,Mn55 -> 55,Fe57 -> 57,Co59 -> 59,Cu63 -> 63,Cu65 -> 65,Zn66 -> 66,Rb85 -> 85,Sr86 -> 86,Sr87 -> 87,Sr88 -> 88,Y89 -> 89,Cd111 -> 111,Cd114 -> 114,Sb121 -> 121,Sb123 -> 123,Ba137 -> 137,Ba138 -> 138,Tl205 -> 205,Pb206 -> 206,Pb207 -> 207,Pb208 -> 208,Th232 -> 232,U238 -> 238
2.9885,0.00,70.00,0.00,10.00,770.02,120.00,1890.10,520.01,0.00,2920.24,1570.07,100453.66,210.00,17518.79,100.00,10.00,0.00,0.00,70.00,10.00,70.00,90.00,110.00,130.00,41333.61,37153.35,92347.58,0.00,0.00
5.9689,0.00,40.00,40.00,0.00,530.01,100.00,2170.13,380.00,20.00,2580.19,1130.04,93355.04,320.00,17558.83,80.00,40.00,0.00,0.00,70.00,30.00,10.00,30.00,70.00,100.00,39288.44,34296.95,83840.60,0.00,0.00
8.9477,0.00,110.00,20.00,0.00,530.01,130.00,1890.10,830.02,40.00,2690.20,1200.04,92922.78,320.00,16237.55,120.00,50.00,0.00,0.00,90.00,20.00,10.00,10.00,90.00,120.00,38586.73,33425.09,85278.22,0.00,0.00
11.9276,0.00,30.00,0.00,0.00,570.01,80.00,1850.10,450.01,40.00,2660.20,1600.07,89123.35,180.00,14896.36,40.00,40.00,0.00,0.00,80.00,10.00,10.00,0.00,90.00,100.00,38686.97,33755.79,82945.94,0.00,0.00
14.9069,0.00,10.00,0.00,10.00,590.01,30.00,1700.08,570.01,60.00,2640.20,1570.07,91766.78,300.00,14956.41,130.00,40.00,0.00,0.00,90.00,10.00,40.00,20.00,110.00,120.00,37403.91,33966.24,81609.03,0.00,0.00
17.8867,0.00,60.00,20.00,0.00,750.02,50.00,1770.09,370.00,20.00,2910.24,1200.04,94923.33,260.00,14726.21,150.00,30.00,0.00,0.00,50.00,0.00,0.00,50.00,90.00,80.00,38476.46,34707.84,77900.49,0.00,0.00
20.8655,0.00,120.00,10.00,20.00,440.01,100.00,1660.08,520.01,60.00,2730.21,1340.05,91103.37,210.00,13325.08,100.00,40.00,0.00,0.00,90.00,30.00,10.00,10.00,60.00,180.00,39909.98,34487.36,79156.68,0.00,0.00
23.8459,0.00,50.00,0.00,0.00,670.01,80.00,1300.05,580.01,10.00,2710.21,1260.04,86711.44,260.00,13415.15,70.00,50.00,0.00,0.00,130.00,10.00,20.00,10.00,70.00,90.00,36070.84,33695.66,77970.82,0.00,0.00
26.8247,0.00,80.00,30.00,0.00,450.01,90.00,1500.06,460.01,20.00,3110.27,1140.04,93214.31,170.00,13835.47,70.00,40.00,0.00,0.00,120.00,70.00,20.00,50.00,40.00,140.00,35639.86,31521.21,76674.54,0.00,0.00
29.8045,0.00,100.00,20.00,0.00,620.01,40.00,1420.06,550.01,60.00,2930.24,1240.04,92299.53,150.00,12594.54,70.00,0.00,0.00,0.00,20.00,10.00,20.00,30.00,60.00,150.00,37814.87,33334.90,78312.50,0.00,0.00
32.7839,0.00,10.00,0.00,20.00,570.01,50.00,1470.06,720.01,30.00,2750.21,1490.06,90992.81,100.00,11914.07,120.00,50.00,0.00,0.00,50.00,10.00,30.00,20.00,70.00,130.00,36942.83,32904.01,93685.37,499255.70,935300.92
35.7637,2410.16,60529.56,14805.97,84587.43,1627955.13,848529.67,1704043.26,57341.86,2337424.81,1259631.62,644097.02,355650.23,1767043.72,383814.84,1085805.45,3708139.32,5258076.80,280927.95,737268.50,1501992.95,1107206.23,636810.65,4314403.69,426772.96,1290693.11,1216347.17,3367464.64,6147250.53,6307979.91
38.7425,15536.47,309658.28,45265.75,219686.83,3760400.88,1433320.45,2171815.12,69866.33,3192514.95,1833865.60,938678.89,442255.74,2252808.56,455374.80,1211417.87,3579881.20,5088548.99,282178.24,745671.94,1535861.85,1208529.75,689567.57,4555738.06,474474.60,1498173.57,1343190.45,3239353.39,5900543.04,5443269.92
41.7229,14095.33,300182.94,41807.56,225852.09,3761958.07,1532024.35,2565721.84,78030.00,3385910.26,2026466.53,1004752.41,484898.78,2321784.81,475059.21,1385878.73,3855419.01,5320659.30,287373.67,731894.36,1466142.32,1161549.20,726718.66,4768148.37,481088.70,1459987.17,1288858.34,3232274.64,6204248.66,6437921.78
44.7017,15496.44,303161.30,43331.09,210053.36,3268162.76,1263891.00,2301594.65,72476.69,3105479.02,1759059.51,890541.31,452078.82,2350326.06,451270.19,1290220.45,3903928.07,5252972.42,292611.32,780289.13,1664544.19,1308187.25,797426.78,5548465.54,479975.85,1312579.20,1177919.67,2886654.02,5738511.16,6010663.04
47.6815,14635.74,317927.77,45045.21,226935.52,3675078.07,1535839.20,2569218.24,81334.69,3417994.32,1925907.32,925619.20,458151.67,2503514.18,491011.83,1328123.57,3861038.07,5350049.30,296456.73,765302.88,1505776.07,1191526.86,670642.41,4263682.12,466823.47,1310844.51,1209438.81,3029545.89,5811981.16,5637656.79
50.6609,14635.74,295294.70,43701.97,222399.70,3615530.57,1427816.85,2473323.87,74816.31,3410596.51,1906568.88,908150.69,493007.77,2551271.84,496164.48,1480784.04,4650000.56,6284598.03,330410.35,751018.82,1534092.32,1179754.51,724506.00,4809496.18,505084.80,1374547.64,1235804.75,3433289.01,6028027.41,6204994.91
