C:\Agilent\ICPMH\1\DATA\Steven.Christopher Batch Data\1FEB21610CAL2.b\001SMPL.d
Intensity Vs Time,CPS
Acquired      : 2021-02-01 14:42:59 using Batch 1FEB21610CAL2.b
Time [Sec],Li7 -> 7,Mg24 -> 24,Mg25 -> 25,Ca43 -> 43,Ca44 -> 44,Sc45 -> 45,Mn55 -> 55,Fe57 -> 57,Co59 -> 59,Cu63 -> 63,Cu65 -> 65,Zn66 -> 66,Rb85 -> 85,Sr86 -> 86,Sr87 -> 87,Sr88 -> 88,Y89 -> 89,Cd111 -> 111,Cd114 -> 114,Sb121 -> 121,Sb123 -> 123,Ba137 -> 137,Ba138 -> 138,Tl205 -> 205,Pb206 -> 206,Pb207 -> 207,Pb208 -> 208,Th232 -> 232,U238 -> 238
2.9896,0.00,40.00,0.00,0.00,540.01,40.00,200.00,600.01,30.00,830.02,470.01,150.00,30.00,950.03,40.00,0.00,0.00,0.00,110.00,50.00,10.00,0.00,30.00,0.00,0.00,10.00,10.00,0.00,0.00
5.9699,0.00,30.00,0.00,0.00,690.01,40.00,280.00,650.01,0.00,700.01,430.01,180.00,20.00,1100.03,10.00,0.00,0.00,0.00,140.00,0.00,0.00,0.00,30.00,0.00,70.00,10.00,20.00,0.00,0.00
8.9487,0.00,80.00,0.00,0.00,500.01,60.00,190.00,580.01,20.00,930.02,370.00,80.00,60.00,1190.04,0.00,20.00,0.00,0.00,210.00,20.00,10.00,0.00,40.00,0.00,20.00,10.00,50.00,0.00,0.00
11.9286,0.00,50.00,0.00,0.00,520.01,60.00,170.00,690.01,20.00,870.02,420.00,140.00,40.00,1080.03,0.00,0.00,0.00,0.00,280.00,0.00,0.00,0.00,20.00,20.00,90.00,20.00,30.00,0.00,0.00
14.9079,0.00,30.00,40.00,0.00,620.01,20.00,340.00,610.01,0.00,700.01,300.00,110.00,10.00,1350.05,40.00,20.00,0.00,0.00,230.00,10.00,10.00,0.00,50.00,0.00,10.00,20.00,20.00,0.00,0.00
17.8877,0.00,20.00,0.00,10.00,490.01,0.00,280.00,600.01,20.00,830.02,310.00,70.00,30.00,1240.04,20.00,20.00,0.00,0.00,70.00,0.00,0.00,0.00,20.00,0.00,30.00,10.00,20.00,0.00,0.00
20.8666,0.00,10.00,0.00,10.00,520.01,20.00,270.00,690.01,10.00,810.02,510.01,120.00,10.00,1100.03,10.00,0.00,0.00,0.00,110.00,20.00,20.00,20.00,30.00,0.00,10.00,10.00,40.00,0.00,0.00
23.8469,0.00,40.00,10.00,0.00,590.01,90.00,4590.59,5100.73,626770.54,501164.76,334532.77,163712.06,1010405.38,205158.86,690173.66,2239712.00,2823238.40,157976.06,385955.38,976039.83,977629.20,506797.06,3895226.50,385817.69,933097.80,936720.69,2190162.31,4268546.50,3626303.07
26.8257,11073.29,197304.00,31637.24,172438.53,2372762.15,965862.17,1545114.35,45938.98,2378087.62,1515286.38,654704.68,253975.41,1494509.04,300179.66,847412.88,2454349.49,3803259.94,176707.99,452069.17,1064411.39,851036.08,487126.63,3318759.95,315769.92,813715.93,720260.93,1849980.91,3929461.19,3673590.88
29.8056,9672.51,204400.97,33881.24,191883.00,2761786.52,1106629.28,1680414.66,60753.10,2678144.34,1440255.45,758902.64,299894.04,1721922.79,345251.71,936564.05,2573675.43,3667337.76,162639.48,426688.12,1063358.50,792570.69,436715.74,2967899.64,301181.42,882109.44,819117.41,2210530.59,4766407.12,4270957.75
32.7849,13154.64,242915.64,36606.47,168491.58,2463554.96,1035138.73,1573562.16,48796.54,2040554.97,1238245.06,667570.85,265005.04,1584036.54,336666.44,902611.86,2809482.77,4335222.12,209950.47,545614.44,1273574.36,922018.50,437690.66,3009554.33,298430.33,810876.39,855721.63,2082149.50,4530265.24,4536132.12
35.7647,11853.77,248155.04,37899.09,184799.76,2748364.33,1110974.28,1745984.97,55425.82,2331920.90,1390008.57,667581.24,243114.82,1453518.57,296100.87,785419.13,2329098.72,3399368.39,175081.40,455005.70,1014658.81,862294.28,449846.17,3053183.70,306216.03,884845.38,814993.50,2053640.13,3963761.82,4363343.37
38.7436,10422.91,204926.79,30124.70,153287.17,2211735.28,985101.39,1492792.79,51654.55,2524607.93,1305488.81,611338.58,270212.69,1571867.48,324081.50,816059.05,2346519.81,3404685.26,169202.67,414380.35,1020875.45,770978.04,476363.78,3226103.08,305135.60,869492.80,799968.58,2217243.09,4263662.12,3900868.69
41.7239,10673.06,205887.44,30555.42,143799.68,2211952.94,962436.31,1488613.73,44665.75,2139017.47,1293165.29,646035.58,267583.30,1512374.98,270764.37,774277.10,2323237.93,3254204.01,165254.35,397055.70,941287.02,775968.11,416183.12,2718191.83,300661.69,791275.69,732899.13,1934252.16,4166564.00,4094180.88
44.7027,11093.30,200235.49,29834.23,136473.21,2325739.03,1022899.67,1377498.42,42370.18,2093782.63,1260585.68,615674.72,259768.43,1294518.18,282183.12,755833.66,2272370.59,3224000.26,162296.25,404323.43,982634.44,724492.88,398644.53,2856751.52,311395.01,817323.89,809229.99,2088910.44,4230529.62,4113989.94
47.6826,9362.35,209204.61,29403.54,153740.98,2372790.43,1079359.75,1488490.29,46129.47,1896788.88,1184758.89,565155.46,247677.30,1389465.76,274034.78,754278.58,2258390.59,3535724.95,170091.44,416193.70,1007871.70,768634.99,435863.98,2757082.15,300580.15,842581.47,780107.33,2062504.50,4439264.93,4358658.37
50.6619,11193.36,199679.45,30395.15,142922.76,2267694.65,1023724.59,1507144.82,45738.47,2051189.97,1264510.45,641184.40,267197.54,1422307.79,280221.91,815147.96,2669705.90,3520376.82,172505.41,418990.89,1015857.41,793911.24,442648.31,2920843.39,318962.61,856242.57,815898.19,2168685.12,4147769.00,3910325.88
53.6417,9902.63,199093.16,29423.57,140292.29,2243799.97,938377.64,1510918.26,48846.67,2276376.53,1356234.04,648731.28,266030.19,1529012.16,292358.59,832195.61,2500908.87,3592117.76,183600.04,453896.71,1100603.89,821584.60,453245.93,3111816.83,331821.40,866717.33,836856.24,2216096.69,4554977.43,4613717.74
56.6205,10733.09,210883.65,32468.70,147811.82,2202443.56,930042.33,1372801.23,46670.87,2076957.16,1314970.45,632853.27,279586.32,1443017.48,289826.89,828946.16,2535809.49,3644236.20,181174.35,446064.17,1127816.00,857815.30,481919.29,3043326.83,335732.10,866253.03,850396.94,2180126.37,4358723.37,4260980.25
59.6009,11183.35,199457.09,30675.61,140685.32,2120205.59,927128.11,1350089.51,43482.85,1925807.63,1177446.31,571194.21,254644.90,1347177.64,262753.30,733843.66,2211467.15,3316848.08,174818.75,436317.02,1080523.19,840814.36,458444.49,3026048.08,330075.70,848872.96,751644.44,1943588.10,4108533.69,3904944.00
62.5797,10012.69,193281.58,29163.15,143507.37,2174772.62,943420.61,1418568.26,47392.77,2002406.69,1239926.31,640147.96,270760.97,1489758.10,297789.23,847769.52,2518768.71,3562936.20,185156.62,452028.12,1043309.75,781671.47,403939.06,2719534.96,305594.27,778865.22,717102.88,1790845.91,3690255.26,3629404.01
65.5596,9802.58,184431.29,27360.38,134659.70,2235007.62,962320.22,1457883.88,51143.09,2194956.06,1376409.35,653553.47,280317.71,1481475.29,290060.70,808687.41,2373196.84,3289690.89,172555.93,429302.49,1069688.27,834178.03,448891.05,3052925.89,317585.50,801898.11,776035.30,2000076.53,3988597.44,3823069.01
