C:\Agilent\ICPMH\1\DATA\Steven.Christopher Batch Data\1FEB21SC2417.b\001SMPL.d
Intensity Vs Time,CPS
Acquired      : 2021-02-01 15:34:10 using Batch 1FEB21SC2417.b
Time [Sec],Li7 -> 7,Mg24 -> 24,Mg25 -> 25,Ca43 -> 43,Ca44 -> 44,Sc45 -> 45,Mn55 -> 55,Fe57 -> 57,Co59 -> 59,Cu63 -> 63,Cu65 -> 65,Zn66 -> 66,Rb85 -> 85,Sr86 -> 86,Sr87 -> 87,Sr88 -> 88,Y89 -> 89,Cd111 -> 111,Cd114 -> 114,Sb121 -> 121,Sb123 -> 123,Ba137 -> 137,Ba138 -> 138,Tl205 -> 205,Pb206 -> 206,Pb207 -> 207,Pb208 -> 208,Th232 -> 232,U238 -> 238
2.9885,10.00,50.00,10.00,0.00,550.01,60.00,310.00,810.02,0.00,710.01,380.00,210.00,60.00,1890.10,0.00,70.00,0.00,0.00,40.00,0.00,0.00,0.00,10.00,0.00,40.00,0.00,20.00,10.00,0.00
5.9689,0.00,20.00,0.00,20.00,540.01,90.00,250.00,800.02,10.00,610.01,270.00,130.00,60.00,1900.10,30.00,10.00,0.00,0.00,40.00,0.00,0.00,0.00,30.00,0.00,40.00,0.00,40.00,0.00,0.00
8.9477,0.00,20.00,10.00,0.00,660.01,120.00,300.00,740.02,0.00,830.02,280.00,130.00,50.00,1860.10,30.00,20.00,0.00,0.00,70.00,20.00,10.00,0.00,0.00,0.00,30.00,60.00,150.00,0.00,0.00
11.9276,0.00,40.00,0.00,30.00,690.01,70.00,380.00,800.02,10.00,680.01,330.00,90.00,20.00,2130.13,20.00,30.00,0.00,0.00,90.00,60.00,20.00,0.00,30.00,0.00,20.00,0.00,30.00,0.00,0.00
14.9069,0.00,40.00,0.00,0.00,670.01,20.00,240.00,610.01,20.00,760.02,270.00,190.00,120.00,1990.11,20.00,40.00,0.00,0.00,80.00,20.00,0.00,0.00,0.00,0.00,10.00,0.00,30.00,0.00,0.00
17.8867,0.00,60.00,40.00,0.00,670.01,70.00,420.00,820.02,10.00,710.01,290.00,230.00,90.00,2030.12,20.00,10.00,0.00,0.00,80.00,10.00,0.00,0.00,20.00,0.00,20.00,50.00,30.00,0.00,0.00
20.8655,0.00,40.00,10.00,0.00,640.01,60.00,370.00,550.01,10.00,750.02,500.01,140.00,40.00,1800.09,0.00,40.00,20.00,0.00,70.00,20.00,20.00,20.00,80.00,0.00,10.00,40.00,90.00,0.00,0.00
23.8459,0.00,80.00,0.00,0.00,1100.03,50.00,10112.86,2110.12,190.00,18519.64,9782.69,41688.93,7951.81,448551.44,361774.37,5536129.92,0.00,0.00,200.00,70.00,10.00,9662.78,56966.70,30.00,320.00,260.00,500.01,0.00,30.00
26.8247,30.00,3990404.00,677083.35,1334547.64,22131397.17,90.00,529364.33,30485.98,780.02,19450.63,10393.04,115877.29,22704.75,1492516.54,1147920.84,14012416.04,10.00,10.00,130.00,40.00,60.00,11774.13,74555.56,50.00,170.00,240.00,480.01,0.00,120.00
29.8045,30.00,5451412.42,855494.75,1620485.76,28861122.07,240.00,627831.71,35334.90,670.01,22564.31,10653.20,123699.87,25077.99,1870455.28,1328953.26,15786184.76,160.00,10.00,240.00,90.00,10.00,10933.56,72938.47,160.00,350.00,200.00,620.01,110.00,140.00
32.7839,110.00,5578909.92,860605.46,1584440.60,26987787.10,220.00,559758.35,31267.33,660.01,25818.73,12814.62,137390.06,26199.64,1912225.91,1426268.73,17259722.24,110.00,0.00,140.00,40.00,60.00,10453.26,66290.93,110.00,170.00,130.00,560.01,0.00,110.00
35.7637,110.00,6317841.16,1024149.67,1955568.25,34999359.48,160.00,687952.18,37369.04,830.02,26910.35,13485.12,156608.36,29715.26,2116552.78,1509126.07,17580788.49,60.00,0.00,140.00,90.00,30.00,11313.82,66481.68,180.00,210.00,280.00,660.01,30.00,130.00
38.7425,60.00,6465015.53,937193.27,1737594.19,30430542.05,90.00,640457.49,36707.67,560.01,28072.14,14676.06,165306.76,26870.66,2195688.72,1534009.20,19030694.72,70.00,0.00,170.00,90.00,20.00,9042.44,58261.16,60.00,230.00,220.00,750.02,0.00,60.00
41.7229,50.00,6281378.03,964473.27,1774288.10,31988797.02,120.00,745957.72,36266.77,2230.14,62620.08,15076.40,161935.87,24677.42,1943533.25,1449454.67,17077763.50,50.00,40.00,120.00,110.00,100.00,8222.02,51489.03,110.00,330.00,250.00,540.01,0.00,260.00
44.7017,90.00,5976218.66,916590.85,1773471.07,31704004.53,190.00,617191.16,35926.08,930.02,29724.83,16197.39,154560.51,23015.15,1979481.22,1464023.42,17244305.99,70.00,20.00,140.00,110.00,70.00,6811.38,47637.65,50.00,310.00,270.00,590.01,0.00,110.00
47.6815,50.00,6155381.78,925722.41,1775508.25,30824454.54,170.00,554519.02,36387.01,810.02,27651.49,15206.51,150929.44,21883.70,1807194.19,1321594.36,16074749.76,20.00,0.00,130.00,60.00,20.00,7021.47,43446.28,30.00,400.01,270.00,770.02,0.00,160.00
50.6609,90.00,5819915.54,870485.53,1722663.57,30671079.54,110.00,512637.80,34543.36,640.01,29554.55,14626.02,178705.74,22284.21,1820070.29,1309156.62,16314926.01,80.00,0.00,170.00,30.00,70.00,5991.07,39887.43,70.00,340.00,230.00,880.02,0.00,70.00
53.6407,80.00,6144260.53,947913.27,1825895.44,32318192.02,160.00,481593.24,35475.18,730.01,32399.49,15066.39,214944.55,23886.33,1974463.41,1479338.73,17543452.24,110.00,20.00,110.00,90.00,70.00,5750.99,40749.51,60.00,380.00,260.00,1070.04,40.00,230.00
56.6195,100.00,6356174.91,979056.00,1828897.16,32048784.52,110.00,434613.43,35284.80,690.01,33241.04,16427.60,218396.36,23806.21,1937691.38,1407599.35,17215790.99,80.00,20.00,80.00,60.00,110.00,5150.79,34355.20,70.00,330.00,370.00,590.01,0.00,60.00
59.5999,90.00,6201924.91,972248.03,1836611.85,32044527.02,170.00,389042.73,34793.84,700.01,31738.30,14916.27,217070.19,23315.55,1862295.13,1402772.79,16444751.00,120.00,20.00,220.00,80.00,50.00,5020.75,33924.32,110.00,340.00,320.00,710.02,0.00,110.00
62.5787,90.00,6430280.53,1011337.80,1920160.75,33513427.00,50.00,353884.25,36697.64,730.01,36327.07,18219.34,223620.82,24817.62,1855605.60,1362424.20,16903814.75,100.00,0.00,100.00,50.00,30.00,5470.89,35868.37,140.00,610.01,220.00,820.02,0.00,140.00
65.5585,80.00,6386608.03,989124.83,1816420.13,32894222.01,130.00,343494.84,39373.33,910.02,40917.03,19350.54,215481.01,24547.24,1826319.04,1346527.64,17128685.99,130.00,0.00,140.00,70.00,30.00,5841.02,35758.13,120.00,530.01,490.01,1180.04,0.00,110.00
68.5379,70.00,6640896.78,996023.50,1821939.19,32050939.52,180.00,310713.80,35445.12,930.02,36186.78,18189.31,202317.34,24326.93,1799507.47,1305539.82,16119362.26,50.00,100.00,150.00,100.00,70.00,5350.85,39286.02,90.00,520.01,410.01,1070.04,0.00,110.00
71.5177,90.00,6874549.90,1040375.06,1837711.54,32647084.51,170.00,330361.01,39473.56,910.02,37439.37,17308.43,234935.72,26480.06,1987435.75,1413704.82,17727559.74,70.00,0.00,160.00,190.00,100.00,6081.10,36650.06,40.00,500.01,310.00,970.03,10.00,110.00
74.4965,90.00,6645955.53,978297.02,1830678.72,30707097.04,220.00,301142.28,35565.36,680.01,36597.62,19470.67,215713.81,26520.12,1934027.00,1419964.20,17239798.49,110.00,50.00,250.00,100.00,140.00,4940.73,35357.28,60.00,520.01,330.00,1100.04,0.00,110.00
77.4769,100.00,6704852.40,1028059.44,1825318.10,32127492.02,340.00,288323.77,37258.80,920.02,34383.21,17328.45,196765.39,25378.42,1890473.72,1383641.07,16740116.00,130.00,50.00,220.00,100.00,30.00,5350.85,40518.95,80.00,420.01,420.01,1050.03,0.00,100.00
80.4557,50.00,7044517.40,1077508.50,1956109.97,35162486.98,150.00,285631.07,39192.94,940.02,38732.14,22384.10,200294.59,25218.20,1920909.66,1428121.54,17414315.99,30.00,20.00,220.00,110.00,50.00,5350.85,34786.08,80.00,430.01,250.00,850.02,0.00,120.00
83.4355,170.00,7069634.27,1038566.94,1809717.79,32383567.02,240.00,264936.48,41919.11,1080.03,38361.34,20641.99,204714.61,26099.49,2125542.62,1490364.35,18127520.98,70.00,30.00,210.00,170.00,30.00,5510.91,35998.65,60.00,480.01,340.00,950.03,0.00,100.00
86.4148,40.00,6469343.65,1010493.11,1829881.22,33107054.51,290.00,226382.71,39142.82,690.01,47032.12,66685.03,181827.24,22474.45,1970077.16,1468194.04,18479508.47,70.00,30.00,360.00,100.00,70.00,5610.94,37111.07,220.00,370.00,290.00,1030.03,10.00,120.00
89.3947,60.00,7183798.64,1085191.86,1851873.10,32808797.01,260.00,238863.34,38351.11,720.01,61034.58,33942.42,176150.39,26069.44,2054124.50,1502628.26,19217512.21,100.00,30.00,330.00,10.00,40.00,5921.05,36169.02,170.00,470.01,250.00,910.03,0.00,210.00
92.3735,60.00,7182366.77,1077752.17,1901966.69,33092672.01,320.00,221795.80,37699.73,700.01,42049.66,26549.84,166790.52,26590.23,2081467.16,1517359.98,18995379.72,70.00,0.00,340.00,70.00,10.00,6231.16,41140.46,130.00,460.01,480.01,670.01,10.00,110.00
95.3539,60.00,7194689.89,1084481.70,1908831.22,31785277.03,230.00,214244.65,36968.21,730.01,90962.08,33050.74,161431.30,26480.06,2342994.18,1685664.82,20345269.70,80.00,10.00,580.01,10.00,30.00,7801.82,46213.66,90.00,440.01,320.00,800.02,20.00,110.00
98.3327,120.00,6994008.65,1042923.97,1645669.66,27379447.09,140.00,151639.67,28332.45,650.01,146864.05,26309.48,124928.43,20872.46,2284949.18,1716815.29,21346482.18,180.00,30.00,880.02,70.00,70.00,10673.40,69795.11,130.00,710.02,670.01,1710.09,0.00,310.00
101.3125,70.00,8386825.50,1202277.40,1847629.19,31293847.03,250.00,377693.51,35956.14,1050.03,269476.70,81406.23,175352.52,28132.64,2727594.96,1803944.50,20605028.44,100.00,90.00,890.02,170.00,220.00,11714.09,84924.74,60.00,950.03,900.03,3620.41,20.00,240.00
104.2918,40.00,4840389.62,649616.40,1009746.39,17080059.75,160.00,207070.97,19660.81,560.01,201424.47,73572.15,72056.07,9372.51,1158524.75,815497.88,9829037.35,60.00,40.00,1140.04,90.00,40.00,7061.49,48239.36,20.00,630.01,420.01,1830.11,0.00,120.00
